FractureX[m],FractureY[m],FractureZ[m],Formation
14668231.28,4524080.49,-6292.572159,Fracture
14669310.12,4524085.217,-6289.995151,Fracture
14666764.35,4524081.32,-6305.26114,Fracture
14669478.15,4524089.661,-6292.575334,Fracture
14666043.53,4524099.522,-6294.241006,Fracture
14667621.24,4524094.966,-6301.845988,Fracture
14668332.63,4524129.12,-6294.903787,Fracture
14669022.42,4524125.983,-6285.302435,Fracture
14665669.96,4524128.593,-6289.736246,Fracture
14666006.8,4524151.304,-6290.646915,Fracture
14667475.06,4524150.279,-6284.219369,Fracture
14667925.38,4524163.991,-6311.072873,Fracture
14667324.1,4524180.639,-6299.828522,Fracture
14668994.21,4524233.081,-6306.332893,Fracture
14669024.32,4524234.788,-6292.482358,Fracture
14668459.27,4524250.179,-6290.175661,Fracture
14668639.16,4524247.489,-6298.094265,Fracture
14669276.41,4524252.865,-6305.207534,Fracture
14668043.59,4524260.86,-6314.203139,Fracture
14667238.51,4524281.556,-6312.428933,Fracture
14668642.04,4524301.143,-6307.568384,Fracture
14668831.8,4524310.278,-6303.192513,Fracture
14668914.25,4524307.414,-6311.752692,Fracture
14668529.99,4524320.472,-6298.553492,Fracture
14668450.93,4524344.833,-6309.691889,Fracture
14668758.3,4524331.161,-6318.727198,Fracture
14666743.89,4524333.733,-6298.885209,Fracture
14667503.2,4524343.51,-6298.036122,Fracture
14668649.56,4524360.476,-6293.61701,Fracture
14668839.73,4524360.779,-6308.093661,Fracture
14669058.58,4524337.726,-6307.985221,Fracture
14667789.33,4524364.445,-6282.813515,Fracture
14667541.61,4524375.657,-6279.88777,Fracture
14667657.21,4524384.392,-6283.12733,Fracture
14667967.56,4524387.317,-6304.797095,Fracture
14666732.13,4524400.678,-6300.470064,Fracture
14667681.05,4524397.13,-6301.191502,Fracture
14665965.49,4524418.578,-6290.625095,Fracture
14665909.66,4524425.696,-6292.360638,Fracture
14666577.38,4524423.148,-6322.794036,Fracture
14666637.78,4524421.148,-6294.603624,Fracture
14668197.78,4524416.555,-6295.888545,Fracture
14668526.63,4524456.155,-6306.223446,Fracture
14668212.73,4524432.36,-6318.192666,Fracture
14668682.65,4524475.561,-6293.697806,Fracture
14668585.9,4524504.42,-6313.949107,Fracture
14668540.28,4524515.54,-6324.311548,Fracture
14667263.48,4524561.21,-6285.682271,Fracture
14668154.96,4524549.46,-6291.18315,Fracture
14667861.88,4524563.279,-6293.257228,Fracture
14668277,4524583.946,-6321.767408,Fracture
14667344.4,4524611.351,-6289.706978,Fracture
14668214.11,4524607.614,-6305.81509,Fracture
14667892.57,4524630.841,-6303.855455,Fracture
14668129.08,4524629.855,-6302.560022,Fracture
14667008.06,4524661.845,-6299.210519,Fracture
14666462.13,4524679.559,-6311.598064,Fracture
14667651.48,4524690.543,-6294.305766,Fracture
14668057.52,4524681.416,-6314.735542,Fracture
14668100.98,4524673.48,-6285.854356,Fracture
14667598.75,4524713.778,-6282.027902,Fracture
14667547.01,4524732.719,-6293.146077,Fracture
14667894.08,4524728.975,-6302.97902,Fracture
14667518.94,4524808.111,-6282.909581,Fracture
14666770.67,4524832.998,-6304.388907,Fracture
14667262.13,4524925.483,-6312.512273,Fracture
14666901.36,4525010.589,-6291.695827,Fracture
14666600.84,4525050.02,-6298.678287,Fracture
14668581.73,4521027.809,-6323.154131,Fracture
14668149.66,4521065.695,-6329.06465,Fracture
14667957.22,4521098.669,-6368.498828,Fracture
14669420.24,4521094.608,-6366.880681,Fracture
14668236.13,4521145.246,-6340.967769,Fracture
14669227.09,4521184.271,-6347.155522,Fracture
14667725.76,4521207.272,-6364.746795,Fracture
14668108.41,4521238.349,-6341.162673,Fracture
14668498.56,4521250.271,-6344.758303,Fracture
14667550.13,4521306.92,-6348.571587,Fracture
14667599.21,4521307.804,-6353.611012,Fracture
14668424.16,4521321.264,-6346.043819,Fracture
14668800.73,4521342.589,-6331.136108,Fracture
14667266.59,4521372.916,-6355.960103,Fracture
14669752.89,4521355.82,-6354.337688,Fracture
14667208.38,4521419.03,-6352.557145,Fracture
14667581.76,4521410.898,-6358.720882,Fracture
14669379.32,4521444.702,-6333.252828,Fracture
14668083.14,4521466.925,-6345.8283,Fracture
14666928.74,4521489.511,-6328.149648,Fracture
14667875.69,4521495.796,-6336.201865,Fracture
14667893.44,4521516.914,-6363.791196,Fracture
14667214.7,4521538.545,-6332.712947,Fracture
14667431.39,4521532.307,-6360.985122,Fracture
14668453.51,4521530.994,-6338.803229,Fracture
14668119.35,4521543.923,-6345.313248,Fracture
14669675.98,4521544.369,-6329.571111,Fracture
14666824.05,4521539.982,-6324.202817,Fracture
14667758.76,4521554.774,-6368.261227,Fracture
14667788.49,4521550.688,-6353.126448,Fracture
14667981.02,4521565.197,-6353.583073,Fracture
14668320.28,4521566.508,-6347.04005,Fracture
14667327.78,4521574.138,-6355.693415,Fracture
14668689.9,4521601.723,-6347.119289,Fracture
14666727.02,4521600.128,-6342.285281,Fracture
14666674.61,4521612.788,-6345.544448,Fracture
14667339.74,4521640.114,-6349.14133,Fracture
14666934.38,4521636.564,-6321.3093,Fracture
14668773.06,4521655.436,-6358.770373,Fracture
14667801.6,4521664.813,-6349.964286,Fracture
14668542.83,4521686.042,-6357.388343,Fracture
